"","Distance","Rsquare","Number"
"1",10,0.756641841326373,234
"2",20,0.91544750829347,31
"3",30,0.762206585036714,21
"4",40,0.85249872986541,12
"5",50,0.724509838528262,18
"6",60,0.703340809620311,16
"7",70,0.86633648698719,17
"8",80,0.674413792808559,11
"9",90,0.642466012065166,12
"10",100,0.850198456011381,11
"11",200,0.52711415194685,78
"12",300,0.678808907794498,56
"13",400,0.565940152188128,32
"14",500,0.646441799815902,21
"15",600,0.480341173713665,25
"16",700,0.624428231992951,23
"17",800,0.425306670119445,13
"18",900,0.635820714153019,12
"19",1000,0.638180167019886,12
"20",1100,0.70259694370189,14
"21",1200,0.613497955198779,17
"22",1300,0.43153100309669,16
"23",1400,0.483949676760334,13
"24",1500,0.553410753217489,7
"25",1600,0.694036364913184,6
"26",1700,0.801635561457897,8
"27",1800,0.732204110011268,10
"28",1900,0.48720869227979,9
"29",2000,0.732148622350599,11
"30",2100,0.428574417910628,8
"31",2200,0.449715642931492,11
"32",2300,0.639644727341462,5
"33",2400,0.401875045145194,9
"34",2691,0.457920440255196,20
"35",2891,0.370060125423768,12
"36",3091,0.449246155443514,16
"37",3291,0.500253977613211,12
"38",3821.33333333333,0.506690175403554,33
"39",4321.33333333333,0.461553914097075,33
"40",4821.33333333333,0.461460157898373,21
"41",5982,0.519068680286019,60
"42",6982,0.437414938376642,35
"43",7982,0.516636505529254,41
"44",8982,0.454584664515712,43
