"","Distance","Rsquare","Number"
"1",10,0.796257344871032,124
"2",20,0.919995256559804,22
"3",30,0.813253810473225,15
"4",40,0.943814580104271,8
"5",50,0.819646191471174,10
"6",60,0.706534198543276,9
"7",70,0.796073540491111,12
"8",80,0.773865340449601,7
"9",90,0.663803672214681,4
"10",100,0.837779013995042,4
"11",200,0.640332670490008,34
"12",300,0.703778354099165,29
"13",400,0.587385861126306,20
"14",500,0.778721565424031,14
"15",600,0.743568248471334,10
"16",700,0.559003247727235,10
"17",800,0.676383499617144,3
"18",900,0.401249605970184,6
"19",1000,0.492782623569714,4
"20",1100,0.794836550257123,8
"21",1200,0.754561845221493,8
"22",1300,0.54116068743803,7
"23",1400,0.761458849874574,5
"24",1500,0.895927601809955,2
"25",1600,0.713191659983962,1
"26",1700,0.571746099165837,4
"27",1800,0.671211387894625,3
"28",1900,0.622354329409101,3
"29",2000,0.839651623964248,6
"30",2100,0.317723299717392,2
"31",2200,0.309622190460237,3
"32",2300,0.502948510037729,3
"33",2400,0.76669596664825,1
"34",2657.75,0.275763471519493,9
"35",2857.75,0.451920345931428,4
"36",3057.75,0.502562043511831,4
"37",3257.75,0.471690239969056,5
"38",3777,0.413217047552172,14
"39",4277,0.575738131855261,11
"40",4777,0.209436169917809,5
"41",5915.5,0.670277862870299,15
"42",6915.5,0.596773610291838,10
"43",7915.5,0.630997529788821,23
"44",8915.5,0.381253258394825,14
