"","Distance","Rsquare","Number"
"1",10,0.623654735087528,343
"2",20,0.848785726223111,39
"3",30,0.74448857796265,26
"4",40,0.698611106211595,19
"5",50,0.706314012406002,23
"6",60,0.722674209291941,21
"7",70,0.756688700128965,22
"8",80,0.604149073892473,17
"9",90,0.704295832523627,13
"10",100,0.822974716740327,11
"11",200,0.551703647377388,88
"12",300,0.564802321311923,78
"13",400,0.530088465618657,42
"14",500,0.549735993957231,28
"15",600,0.419894602538218,38
"16",700,0.563305468049521,31
"17",800,0.423383539395623,21
"18",900,0.491631180687517,19
"19",1000,0.549764363569917,14
"20",1100,0.709129828605306,17
"21",1200,0.42425995025375,25
"22",1300,0.428739518548392,18
"23",1400,0.339601499825162,21
"24",1500,0.581137373064562,13
"25",1600,0.472574986715361,11
"26",1700,0.578009213701338,11
"27",1800,0.628726539676482,14
"28",1900,0.365931098750725,13
"29",2000,0.651699309131597,13
"30",2100,0.370054270907217,10
"31",2200,0.334687565017774,15
"32",2300,0.390343019016969,9
"33",2400,0.347872757997805,13
"34",2691,0.405755330257288,30
"35",2891,0.359860167065504,17
"36",3091,0.386243149446824,22
"37",3291,0.320505970463379,22
"38",3821.33333333333,0.426569518833466,49
"39",4321.33333333333,0.419516816418572,47
"40",4821.33333333333,0.362612207291396,36
"41",5982,0.443444031032857,84
"42",6982,0.370337215792435,58
"43",7982,0.453713921750432,61
"44",8982,0.360104684109807,62
