taxa,PC1,PC2,PC3
20IL1,-22.4854587730758,11.7658476777109,-5.28573822949468
20IL10,-45.3335862531876,-30.7269518597001,-5.38261664737982
20IL13,-45.2904103910315,-28.4992938210352,-3.31980444819922
20IL16,-47.7549784243809,-33.5421440192314,2.03193448687101
20IL17,-47.5989519696242,-33.6590908346712,1.70258314023307
20IL18,-24.8985181660596,33.6920085747462,-35.4123978352827
20IL19,-45.543647599215,-26.9408448808672,-7.02562032928678
20IL2,-40.009312406184,-24.6586941509242,-2.13024132326013
20IL22,-46.9040543224852,-24.2992971127337,-3.49591494816035
20IL24,-32.8767921463664,4.54058403232585,-10.9991905685335
20IL25,19.9634125600253,-3.05981453230312,-0.871095506630195
20IL26,-28.6786328100529,35.2255183715327,-33.6968414736033
20IL27,-28.5824810819496,34.2591796947468,-33.1343758939825
20IL29,-15.6907425244144,-18.3599017707942,-8.4375074338285
20IL3,-44.3192507319133,-26.085348145169,0.909804019288139
20IL30,-43.8619151884791,-30.0007719276642,-4.32213144607373
20IL31,-17.1461128500681,12.8063289083838,2.53293550075175
20IL32,-47.5004852689767,-35.181173570344,-4.44507472259639
20IL33,-46.1306817250202,-32.5006010704324,-4.50544698346874
20IL4,-41.1233230938213,-26.5277199812236,-2.75917111286181
20IL5,-28.2692345315946,35.7159549950574,-33.387736854064
20IL6,-40.7564879043974,-23.2177307750885,-2.44471948925462
20IL7,-27.9098001960336,35.4420841971838,-34.3246205102176
20IL8,-43.2662167971093,-28.5598595585261,-5.20136213097409
20IL9,-47.6929742063596,-33.7788030995256,2.09690828357236
Bailey,19.7553987714901,-2.82007296437645,-0.970802845293312
BaileyII,16.9928136816516,-4.13667833108092,2.12978280310816
BaileyIIClones,17.1066786632028,-4.10929730536532,2.27192213276508
Comrade,6.10578376473664,-0.633960975076546,-1.92248798694072
Emery,19.1700317710084,-3.08971818211029,-1.36751403713441
GPNC343,20.0609365627647,-2.9506138413768,-0.856238524461563
Gregory,-16.4273410442626,11.3398650187745,2.33244218190046
HTS1602,-11.5398206980821,24.3222781209186,16.1736926742939
HTS1603,-14.350429426558,15.6782554460381,12.0247668145057
HTS1604,-11.8325828784889,15.5989275724396,7.50428822893441
HTS1605,1.84722342284275,3.46864225315072,7.48029804787674
HTS1606,-11.3189751351535,11.1259003949609,9.95345862470087
HTS2002,-20.3313750393158,19.0816477858169,10.0134963504895
HTS2003,-12.7263922859439,12.6704724719066,6.8898334967286
HTS2004,-3.20697601757153,11.7419876329339,-8.13562002183115
HTS2005,0.502335587616958,11.4383628064904,3.84501315661936
HTS2006,-43.3002971048523,28.5574928756909,10.8406141249494
HTS2001,-21.8680105958489,11.4646653348399,10.3487202358785
HTSIL02,-47.4891196051615,-33.4340984230437,1.79459767247367
HTSIL09,-37.6462397527694,-7.29666943255612,-6.95973082941325
HTSIL10,-31.5727806570077,-8.4688528380825,-0.621282747667825
HTSIL13,-33.846124187257,-6.73800635730588,-2.50524676651995
HTSIL16,16.9165008365335,-2.3494693623183,1.69621042315993
HTSIL19,-39.9313027088219,-20.7698819852358,-6.947529129235
HTSIL21,-33.3522812846534,-2.57359879407269,-1.86014666930063
HTSIL25,-13.9397042005156,23.4975135849696,-12.192854305808
HTSIL28,-36.9444813500906,32.9951180191668,-16.4491334669094
HTSIL29,-26.6399466022469,16.7465272832314,14.2352978238923
HTSIL30,-28.6860773253187,6.44120359884923,11.7128220441164
HTSIL33,-34.9792506171612,27.6199325918314,3.61450024177477
HTSIL34,-33.581990937269,24.397716320988,13.8202013230967
