taxa,avg_width_el
20IL1,14.70012395
20IL10,13.33613279
20IL13,13.15671356
20IL16,14.86260757
20IL17,15.36023178
20IL18,13.82618707
20IL19,13.98968115
20IL2,15.11673894
20IL22,13.70252717
20IL24,14.14627611
20IL25,14.37099954
20IL26,14.66171433
20IL27,13.28778394
20IL29,14.58914292
20IL3,14.9357892
20IL30,13.9590839
20IL31,14.81650126
20IL32,15.08265527
20IL33,15.21427171
20IL4,15.17065062
20IL5,14.72354343
20IL6,13.69043663
20IL7,14.5069382
20IL8,13.53011313
20IL9,15.04321182
HTS1602,12.39761928
HTS1603,13.55792352
HTS1604,14.31746556
HTS1605,15.98854948
HTS1606,14.47897694
HTS2001,14.28276358
HTS2002,13.06801843
HTS2003,14.53341674
HTS2004,14.48406096
HTS2005,16.1029977
HTS2006,13.04683469
HTSIL02,15.03824904
HTSIL09,12.69282565
HTSIL10,13.33943208
HTSIL13,14.22646038
HTSIL16,13.2465668
HTSIL19,12.86801923
HTSIL21,14.25542092
HTSIL22,14.73317236
HTSIL25,12.8965455
HTSIL28,13.32783743
HTSIL29,12.14378512
HTSIL30,14.40781625
HTSIL33,14.19910269
HTSIL34,13.57419439
HTSIL37,13.6288298
HTSIL38,12.65255985
HTSIL39,12.89965549
HTSIL40,14.91262876
HTSIL41,13.58826627
HTSIL43,15.27290115
HTSIL44,13.62135601
HTSIL46,12.61698929
HTSIL47,15.76952916
HTSIL49,13.50276938
HTSIL50,14.28878759
HTSIL51,13.89732592
HTSIL52,13.81736051
HTSIL53,14.43639198
HTSIL54,14.88492912
HTSIL55,12.60670285
HTSIL56,14.11389747
HTSIL58,12.281334
HTSIL59,14.74207279
HTSIL65,14.08297408
HTSIL66,12.24950198
HTSIL67,12.22105019
HTSIL68,16.25668155
HTSIL71,12.56981643
HTSIL72,13.78628229
HTSIL73,14.46132568
HTSIL74,13.83960743
HTSIL76,15.71862874
HTSIL77,14.36917656
HTSIL84,14.91638303
HTSIL88,12.71049612
