taxa,avg_width_el
Bailey,14.6548436
BaileyII,14.56095114
BaileyIIClones,14.49079085
Comrade,15.57202582
Emery,15.20117764
GPNC343,14.72561505
Gregory,15.40608233
N05006,14.93931484
N10066,15.10938562
N11055,14.95786806
N12009,14.60348368
N13031,14.63660222
N13042,15.11661009
N13051,13.45658751
N14001,15.216389
N14002,15.64991769
N14004,15.27344605
N14007,14.83808079
N14009,15.39262777
N14017,15.55161753
N14027,14.99525428
N14039,15.1990827
N15017,15.22803261
N15039,14.93444172
N15041,15.15777284
N15044,15.03268782
N15053,15.24764484
N15060,15.78015102
N15066,15.82042581
N16005,15.05329183
N16011,15.51152203
N16012,15.80867534
N16021,15.25750204
N16028,15.06478369
N16030,14.90978059
N16032,15.35533853
N16034,14.36004839
N16035,15.91383875
N16050,15.07713681
N16055,14.81501901
N17036,16.01817918
N17037,15.89732948
N17039,15.49005783
N17040,15.58309531
N17041,15.35865205
N17042,15.51722697
N17044,16.164347
N17045,15.14694186
N17046,14.68503407
N17047,14.76661987
N18002,16.6911041
N18010,15.29447648
N18011,15.40540686
N18012,15.51520005
N18015,15.77794548
N18018,14.5478885
N18026,15.64239855
N18029,15.57025944
N18033,15.3583989
N18034,15.19571088
N18035,15.7096229
N18036,15.80650084
N18037,15.90093759
N18038,15.56192791
N18039,15.65425459
N18040,15.61452619
N18041,15.71256207
N18042,16.66958671
N18043,15.77142949
N18044,16.74222254
N18045,16.13861749
N18047,14.71212958
N18048,14.473638
N18049,15.69239901
N18050,14.93050085
N18051,15.57837366
N18053,15.60592665
N18055,16.5142343
N19001,15.7197221
N19002,14.56560243
N19003,15.90710079
N19004,15.54344835
N19005,15.07469238
N19006,14.746437
N19007,15.60726311
N19008,15.16632935
N19009,15.80326436
N19010,15.56330827
N19011,15.5894991
N19012,14.85906825
N19013,16.21005115
N19014,15.99057816
N19015,16.36550121
N19016,16.84445884
N19017,15.98365734
N19018,15.35763768
N19019,15.45611002
N19020,15.86951771
N19021,16.09922263
N19022,15.79265238
N19023,14.86107202
N19024,15.35893349
N19025,15.39556063
N19026,15.5298141
N19027,15.23325461
N19028,15.37914621
N19029,15.02707417
N19030,15.01038254
N19031,15.11443782
N19032,15.20494714
N19033,15.19749376
N19034,15.40638189
N19035,14.98023195
N19036,15.01676404
N19037,15.18612945
N19038,15.06734352
N19039,15.38517107
N19040,15.36701551
N19041,15.08456161
N19042,15.37155187
N19043,15.17601464
N19044,15.45992246
N19045,15.12103754
N19046,15.03726987
N19047,15.27687623
N19048,15.25754774
N19049,15.03974745
N19050,15.61986983
N21001,15.18576123
N21002,14.85174042
N21003,15.98292286
N21004,15.73175924
N21005,14.80031552
N21006,14.7484356
N21007,15.16556875
N21008,15.69067101
N21009,16.195274
N21010,14.94243104
N21011,15.1988491
N21012,15.23531848
N21013,15.25817671
N21014,15.75211667
N21015,15.28719282
N21016,16.35378451
N21017,15.16272426
N21018,15.75273527
N21019,14.84832075
N21020,15.48321549
N21021,16.30755553
N21022,15.67606537
N21023,15.00153326
N21024,15.72643326
N21025,14.71449505
N21026,14.67638094
N21027,14.61498874
N21028,14.922239
N21029,14.62482122
N21030,14.81647132
N21031,15.24807473
N21032,15.43589032
N21033,14.33417637
N21034,15.94747711
N21035,14.66808018
N21036,14.66949409
N21037,14.65078966
N21038,15.82255214
N21039,15.83096772
N21040,15.53349986
N21041,15.53071828
N21042,15.90390325
N21043,15.7428554
N21044,15.71293617
N96076L,14.62204043
NCV11,14.75063243
NC20,15.23631999
Perry,14.49009147
PI497429,14.71992448
PI576636,15.44473612
SPT0701,16.54303916
SPT1012ol,14.34415474
Sullivan,15.02944949
Tifguard,13.42863904
Walton,14.98670317
Wynne,15.04444537
